Entreprise / Services;Numéro payant;Numéro non surtaxé;Informations complémentaires
Agence nationale des titres sécurisés (ANTS);NC;3400;Aucunes
Air France;NC;3654;Aucunes
Air France;NC;0969393654;Depuis l'étranger
Airbnb;NC;0184884000;Aucunes
Allo Service Public;NC;3939;Aucunes
Alpiq;NC;0974997366;Aucunes
Alterna;NC;0800711234;Aucunes
Amazon;NC;0805101420;Gratuit depuis un poste fixe
Amazon Music et Amazon Prime;NC;0805101420;https://www.amazon.fr/gp/help/customer/contactAucunesus
Antargaz;NC;0974751751;Client avec compteur
Antargaz;NC;0980985050;Client avec bouteilles
Apple;NC;0805540003;Aucunes
Apple Music;NC;0800046046;https://getsupport.apple.com/?caller=psp&PRKEYS=PF32
Association pour l'emploi des cadres (Apec);NC;0809361212;Aucunes
Assurance maladie;NC;3646;Aucunes
Assurance retraite (Cnav, Carsat);NC;3960;Aucunes
BNP Paribas;NC;3477;Aucunes
Booking.com;NC;0157329209;Aucunes
Boulanger;0825850850 (Service 0,18€/min + prix appel);0320494790;Suivi commande, rétractation
Boulanger;NC;0320494773;Garantie en cas de panne
Bouygues;NC;0981662666;Suivi de commande
Bouygues Télécom;NC;614;Depuis la Bbox ou depuis un mobile Bouygues Télécom
Bouygues Télécom;NC;1064;Depuis une ligne fixe ou un mobile
Bulb électricité;NC;0805080405;Aucunes
Butagaz;NC;0969390919;Aucunes
Caf (Caisses d'allocations familiales);NC;3230;Aucunes
Canal +;0892393910 (0,35€/min + prix appel);0970820815;Abonnés
Canal +;NC;3910;Non abonnés
Carte Darty plus;NC;0978970970;Aucunes
Carte Darty plus;NC;0980983234;Aucunes
Carte Fnac plus;NC;0153562800;Aucunes
Cdiscount;3979 (service 0,70€/min + prix appel);0970809050;Aucunes
Cdiscount à volonté;NC;0970809050;Aucunes
Cdiscount énergie;NC;0977402030;Souscription, Service client par e-mail uniquement
Cesu (Chèque emploi service universel);NC;0806802378;Aucunes
Chronopost;NC;0969391391;Aucunes
Cnil (Commission nationale informatique et libertés);NC;0153732222;Aucunes
CNRACL (Caisse nationale de retraite des agents des collectivités locales);NC;0556113335;Question générales
CNRACL (Caisse nationale de retraite des agents des collectivités locales);NC;0557579195;Estimations et relevés individuels
Colissimo;NC;3631;Aucunes
Darty;0892011010'(0,40€/min);0978970970;Aucunes
Decathlon;NC;0969323322;Aucunes
Deezer Premium;NC;Voir informations complémentaires;http://www.deezer.com/support
Défenseur des droits;NC;0969390000;Aucunes
Deliveroo;NC;0977550330;Aucunes
Directions départementales de la protection des populations (DDPP);NC;Voir informations complémentaires;Liste des numéros par département disponible sur le site de la DGCCRF
Disney +;NC;0187650955;https://help.disneyplus.com/csp
Dyneff;NC;0467126830;Aucunes
eBay;078161600 (0,05€/min + prix appel);0173001710;Aucunes
EDF;NC;0969321515;Aucunes
EDF;NC;3004;Aucunes
EkWateur;NC;0977406666;Aucunes
élecocité;NC;0974765560;Aucunes
électricité de Provence;NC;0498510031;Aucunes
Enercoop;NC;0970680765;Aucunes
Energem;NC;0969390239;Aucunes
énergie d'ici;NC;0564270488;Aucunes
énergie E. Leclerc;NC;0809109110;Aucunes
énergies du Santerre;NC;0322733182;Aucunes
Engie;NC;0969360559;Aucunes
Engie Gaz Tarif libre;NC;0969399993;Aucunes
Engie Gaz tarif réglementé;NC;0969399993;Aucunes
Eni;NC;0970820320;Aucunes
Europe direct;NC;080067891011;Aucunes
Fil santé jeunes;NC;0800235236;Aucunes
Fnac;0892350405 (service 0,40€/min + prix appel);0969324334;Aucunes
Free;NC;1044;Souscrire
Free;NC;3244;Assistance
Gaz de Bordeaux;NC;0556794040;Aucunes
Gedia;NC;0237650020;Aucunes
GEG;NC;0476842000;Aucunes
Gifi;NC;0553405468;Aucunes
GMF;NC;0970809809;Aucunes
GreenYellow;NC;0969390960;Aucunes
Groupon;NC;0970732000;Aucunes
Happ-e by Engie;NC;0969399993;Aucunes
Happ-e by Engie;NC;0977420410;Aucunes
Iberdrola;NC;0805981205;Aucunes
Ikea;NC;0969362006;Aucunes
Ilek;NC;0564880038;Aucunes
Interflora;0825202020 (0,20€/min);0969363983;Aucunes
Ircantec (retraite complémentaire publique);NC;0241052525;Aucunes
La Poste;NC;3631;Aucunes
La Poste mobile;NC;904;Depuis un mobile
La Poste mobile;NC;0970808660;Depuis un fixe
La Redoute;0892350350 (0,35€/min + prix appel);0969323515;Aucunes
Leroy Merlin;0810634634 (0,05€/appel + prix appel);0359574604;Aucunes
Llum;NC;0411960119;Aucunes
Lucia;NC;0467666768;Aucunes
Mega énergie;NC;0178906715;Aucunes
Mint énergie;NC;0977401080;Aucunes
MMA;0825096096 (0,15€/min);0140255959;Service assistance
MMA;0825096096 (0,15€/min);0980980911;Déclarer un sinistre
Mondial Relay;NC;0969322332;Aucunes
MSA (Mutualité sociale agricole);NC;Voir informations complémentaires;Liste par département à retrouver sur l'annuaire en ligne de la MSA
Nespresso;NC;0800555253;Aucunes
Netflix;NC;0805220512;https://help.netflix.com/fr/csp
OCS;NC;Voir informations complémentaires;https://aide.ocs.fr/hc/fr/requests/new
Ohm énergie;NC;0972667926;Aucunes
Orange;NC;3900;Aucunes
Oui SNCF;NC;0173209851;Aucunes
Ovo Energy;NC;0186761348;Aucunes
Paiement des amendes;NC;0811101010;Radars automatiques
Paiement des amendes;NC;0811102030;Radars automatiques
Paiement des amendes;NC;0811871871;Procès-verbal électronique
Pajemploi (particuliers employeurs et leurs salariés);NC;0820007253;Aucunes
Planète Oui;NC;0974763019;Aucunes
Plüm énergie;NC;0977558030;Aucunes
Pôle emploi;NC;3949;Aucunes
Proxelia;NC;0367180000;Aucunes
Rakuten;NC;0970756460;Aucunes
RATP;NC;3424;Aucunes
